RegionName,date,rent_index
Davidson,1/31/25,2084.395111
Davidson,2/28/25,2100.903175
Davidson,3/31/25,1947.669721
Davidson,4/30/25,1942.49481
Davidson,5/31/25,1945.580489
Davidson,6/30/25,1970.769206
Davidson,7/31/25,1999.248928
Davidson,8/31/25,2036.332052
Davidson,9/30/25,2044.836346
Davidson,10/31/25,2004.87565
Davidson,11/30/25,1986.862892
Davidson,12/31/25,2002.953269
Davidson,1/31/26,2037.077573
Davidson,2/28/26,2029.250791
Davidson,3/31/26,2024.097689
Davidson,4/30/26,2023.860714
Huntersville,1/31/15,1155.623979
Huntersville,2/28/15,1158.957634
Huntersville,3/31/15,1172.318286
Huntersville,4/30/15,1186.920255
Huntersville,5/31/15,1199.466326
Huntersville,6/30/15,1204.384148
Huntersville,7/31/15,1209.083273
Huntersville,8/31/15,1212.63456
Huntersville,9/30/15,1210.458914
Huntersville,10/31/15,1207.748582
Huntersville,11/30/15,1200.10389
Huntersville,12/31/15,1198.688309
Huntersville,1/31/16,1203.8472
Huntersville,2/29/16,1213.353592
Huntersville,3/31/16,1232.380552
Huntersville,4/30/16,1238.958368
Huntersville,5/31/16,1245.48014
Huntersville,6/30/16,1247.237087
Huntersville,7/31/16,1253.679958
Huntersville,8/31/16,1257.710399
Huntersville,9/30/16,1254.636962
Huntersville,10/31/16,1257.080616
Huntersville,11/30/16,1252.314883
Huntersville,12/31/16,1251.551212
Huntersville,1/31/17,1247.344967
Huntersville,2/28/17,1256.140474
Huntersville,3/31/17,1268.030103
Huntersville,4/30/17,1281.523164
Huntersville,5/31/17,1291.858146
Huntersville,6/30/17,1297.420298
Huntersville,7/31/17,1302.475806
Huntersville,8/31/17,1302.044543
Huntersville,9/30/17,1306.570261
Huntersville,10/31/17,1296.906112
Huntersville,11/30/17,1294.168999
Huntersville,12/31/17,1292.697595
Huntersville,1/31/18,1299.966194
Huntersville,2/28/18,1306.79013
Huntersville,3/31/18,1311.274852
Huntersville,4/30/18,1319.497162
Huntersville,5/31/18,1326.348819
Huntersville,6/30/18,1332.305487
Huntersville,7/31/18,1332.053464
Huntersville,8/31/18,1325.803258
Huntersville,9/30/18,1319.508473
Huntersville,10/31/18,1321.001792
Huntersville,11/30/18,1327.634016
Huntersville,12/31/18,1327.491527
Huntersville,1/31/19,1327.286448
Huntersville,2/28/19,1330.790985
Huntersville,3/31/19,1338.431597
Huntersville,4/30/19,1347.600184
Huntersville,5/31/19,1360.808553
Huntersville,6/30/19,1370.387921
Huntersville,7/31/19,1374.928849
Huntersville,8/31/19,1368.913763
Huntersville,9/30/19,1379.293356
Huntersville,10/31/19,1380.546792
Huntersville,11/30/19,1384.126133
Huntersville,12/31/19,1385.440965
Huntersville,1/31/20,1385.000454
Huntersville,2/29/20,1391.69483
Huntersville,3/31/20,1386.397535
Huntersville,4/30/20,1386.228377
Huntersville,5/31/20,1386.03752
Huntersville,6/30/20,1402.147693
Huntersville,7/31/20,1418.163531
Huntersville,8/31/20,1434.316733
Huntersville,9/30/20,1429.965535
Huntersville,10/31/20,1442.221741
Huntersville,11/30/20,1447.994355
Huntersville,12/31/20,1466.51831
Huntersville,1/31/21,1467.692629
