District Name,School Code,School Name,State Board Region,Grade Span,Number of Days Missed Due to Hurricane Helene,Subgroup,ACT/WorkKeys Assessments Indicator Percent,Passing NC Math 3 Percent,Four-Year Cohort Graduation Rate Percent,Five-Year Cohort Graduation Rate Percent
Charter Schools,60D000,Lake Norman Charter,Southwest,0K-12,0,Students With Disabilities,*,*,*,85.7
Charter Schools,60D000,Lake Norman Charter,Southwest,0K-12,0,White,90.7,>95,>95,>95
Charter Schools,60I000,Community School of Davidson,Southwest,0K-12,0,All Students,75.9,>95,>95,>95
Charter Schools,60I000,Community School of Davidson,Southwest,0K-12,0,Economically Disadvantaged,35.7,93.8,88.2,81.3
Charter Schools,60I000,Community School of Davidson,Southwest,0K-12,0,Female,76.3,>95,>95,>95
Charter Schools,60I000,Community School of Davidson,Southwest,0K-12,0,Hispanic,33.3,92.9,92.9,*
Charter Schools,60I000,Community School of Davidson,Southwest,0K-12,0,Male,75.5,>95,>95,>95
Charter Schools,60I000,Community School of Davidson,Southwest,0K-12,0,Not Academically or Intellectually Gifted,75.9,>95,>95,>95
Charter Schools,60I000,Community School of Davidson,Southwest,0K-12,0,Not Economically Disadvantaged,80.7,>95,>95,>95
Charter Schools,60I000,Community School of Davidson,Southwest,0K-12,0,Not English Learner,78.9,>95,>95,>95
Charter Schools,60I000,Community School of Davidson,Southwest,0K-12,0,Not Student with Disabilities,80.3,>95,>95,>95
Charter Schools,60I000,Community School of Davidson,Southwest,0K-12,0,Students With Disabilities,27.3,91.7,88.9,80
Charter Schools,60I000,Community School of Davidson,Southwest,0K-12,0,White,82.9,>95,>95,>95
Charter Schools,62M000,Bonnie Cone Leadership Academy,Sandhills,0K-12,0,All Students,33.3,94.1,68.2,*
Charter Schools,62M000,Bonnie Cone Leadership Academy,Sandhills,0K-12,0,Male,30,93.3,81.3,*
Charter Schools,62M000,Bonnie Cone Leadership Academy,Sandhills,0K-12,0,Not Academically or Intellectually Gifted,33.3,94.1,68.2,*
Charter Schools,62M000,Bonnie Cone Leadership Academy,Sandhills,0K-12,0,Not Economically Disadvantaged,*,>95,64.3,*
Charter Schools,62M000,Bonnie Cone Leadership Academy,Sandhills,0K-12,0,Not English Learner,33.3,94.1,71.4,*
Charter Schools,62M000,Bonnie Cone Leadership Academy,Sandhills,0K-12,0,Not Student with Disabilities,36.4,93.8,63.2,*
