reporting_year,lea_code,lea_name,school_code,school_name,sbe_region,grade_span,missed_days,title_1,subgroup,subject,den,total_pct,notprof_pct,lev3_pct,lev4_pct,lev5_pct,glp_pct,ccr_pct
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,FEM,M8SEP,119,,84.9,9.2,5.9,<5,15.1,5.9
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,HISP,M8SEP,69,,87,7.2,5.8,<5,13,5.8
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,MALE,M8SEP,110,,89.1,10,<5,<5,10.9,<5
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NAIG,M8SEP,223,,87.4,9,<5,<5,12.6,<5
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NEDS,M8SEP,94,,84,10.6,5.3,<5,16,5.3
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NELS,M8SEP,190,,86.3,10.5,<5,<5,13.7,<5
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NSWD,M8SEP,202,,85.1,10.9,<5,<5,14.9,<5
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,SWD,M8SEP,27,,>95,<5,<5,<5,<5,<5
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,AIG,MA06,11,,9.1,<5,72.7,18.2,90.9,90.9
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,ALL,MA06,258,,67.4,17.4,14.3,<5,32.6,15.1
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,BLCK,MA06,156,,75.6,14.7,9.6,<5,24.4,9.6
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,EDS,MA06,156,,69.2,19.2,11.5,<5,30.8,11.5
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,ELS,MA06,34,,88.2,5.9,5.9,<5,11.8,5.9
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,FEM,MA06,126,,69,15.9,14.3,<5,31,15.1
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,HISP,MA06,66,,60.6,22.7,16.7,<5,39.4,16.7
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,MALE,MA06,132,,65.9,18.9,14.4,<5,34.1,15.2
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,MULT,MA06,11,,54.5,18.2,27.3,<5,45.5,27.3
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NAIG,MA06,247,,70,18.2,11.7,<5,30,11.7
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NEDS,MA06,102,,64.7,14.7,18.6,<5,35.3,20.6
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NELS,MA06,224,,64.3,19.2,15.6,<5,35.7,16.5
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NSWD,MA06,213,,62,19.7,17.4,<5,38,18.3
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,SWD,MA06,45,,93.3,6.7,<5,<5,6.7,<5
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,WHTE,MA06,15,,40,26.7,26.7,6.7,60,33.3
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,AIG,MA07,18,,11.1,11.1,61.1,16.7,88.9,77.8
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,ALL,MA07,273,,63.4,13.6,21.2,<5,36.6,23.1
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,BLCK,MA07,142,,63.4,15.5,20.4,<5,36.6,21.1
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,EDS,MA07,155,,69.7,13.5,16.1,<5,30.3,16.8
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,ELS,MA07,58,,79.3,12.1,8.6,<5,20.7,8.6
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,FEM,MA07,136,,68.4,11.8,19.1,<5,31.6,19.9
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,HISP,MA07,104,,70.2,13.5,16.3,<5,29.8,16.3
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,HMS,MA07,15,,93.3,<5,6.7,<5,6.7,6.7
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,MALE,MA07,137,,58.4,15.3,23.4,<5,41.6,26.3
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NAIG,MA07,255,,67.1,13.7,18.4,<5,32.9,19.2
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NEDS,MA07,118,,55.1,13.6,28,<5,44.9,31.4
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NELS,MA07,215,,59.1,14,24.7,<5,40.9,27
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NSWD,MA07,244,,59.4,15.2,23.4,<5,40.6,25.4
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,SWD,MA07,29,,>95,<5,<5,<5,<5,<5
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,WHTE,MA07,12,,25,<5,66.7,8.3,75,75
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,AIG,MA08,17,,23.5,29.4,17.6,29.4,76.5,47.1
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,ALL,MA08,260,,77.3,15,5.4,<5,22.7,7.7
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,BLCK,MA08,164,,78.7,15.9,<5,<5,21.3,5.5
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,EDS,MA08,144,,84,11.8,<5,<5,16,<5
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,ELS,MA08,40,,87.5,7.5,5,<5,12.5,5
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,FEM,MA08,131,,77.9,13,6.9,<5,22.1,9.2
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,HISP,MA08,72,,83.3,11.1,5.6,<5,16.7,5.6
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,MALE,MA08,129,,76.7,17.1,<5,<5,23.3,6.2
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NAIG,MA08,243,,81.1,14,<5,<5,18.9,<5
